Bspry
Calb1
Cdkn2d
Comp
Cyp1a1
Cyp24a1
Cyp27b1
Cyp2r1
Cyp3a13
Fes
Fgf23
Gc
Hr
Ifng
Kank2
Kdm6a
Lrp2
Med1
Mn1
Ncoa6
Pdia3
Pim1
Rxra
Rxrb
S100g
Snai1
Snai2
Snw1
Spp1
Taf11
Taf7
Tcf3
Tnf
Tob2
Trim24
Vdr
