Acan
Adamts12
Adamts7
Anxa6
Arid5a
Atf2
Atp7a
Axin2
Barx2
Bbs1
Bbs2
Bgn
Bmp1
Bmp10
Bmp2
Bmp3
Bmp4
Bmp5
Bmp6
Bmp7
Bmp8a
Bmp8b
Bmpr1a
Bmpr1b
Bmpr2
Carm1
Cbs
Ccn1
Ccn2
Ccn3
Cer1
Cfh
Chrdl2
Chst11
Chsy1
Cnmd
Col10a1
Col11a1
Col11a2
Col1a1
Col27a1
Col2a1
Col3a1
Col9a1
Comp
Cr2
Creb3l2
Csgalnact1
Cst10
Ctnnb1
Ctsk
Cytl1
Ddr2
Ddrgk1
Dicer1
Dlx2
Dspp
Edn1
Enpp1
Ep300
Epyc
Esrra
Ext1
Ext2
Fbxw4
Fgf18
Fgf4
Fgf6
Fgf9
Fgfr1
Fgfr3
Frzb
Gata3
Gdf2
Gdf5
Gli2
Gli3
Gnas
Golgb1
Gpld1
Grn
Hand1
Hand2
Hes5
Hif1a
Hmga2
Hoxa11
Hoxa3
Hoxa5
Hoxb3
Hoxc4
Hoxd11
Hoxd3
Hspg2
Idua
Ift80
Ihh
Il17f
Itgb8
Kat2a
Lef1
Lep
Ltbp3
Ltf
Mapk14
Mapk3
Matn1
Matn3
Mdk
Mef2c
Mef2d
Mgp
Mir140
Mkks
Mmp13
Mmp14
Mmp16
Msx1
Msx2
Mtf1
Mustn1
Mycn
Myf5
Nfia
Nfib
Nog
Nppc
Npr2
Ogn
Optc
Osr1
Osr2
Otor
Pax7
Pbxip1
Pitx1
Pkd1
Poc1a
Por
Prkca
Prrx1
Prrx2
Pth1r
Pthlh
Rara
Rarb
Rarg
Rb1
Ror2
Runx2
Runx3
Satb2
Scube2
Scx
Serpinh1
Sfrp2
Shox2
Sik3
Sirt6
Six2
Slc39a14
Slc39a8
Smad1
Smad5
Smad7
Smad9
Smpd3
Snai1
Snai2
Snorc
Snx19
Sox5
Sox6
Sox9
Stc1
Sulf1
Sulf2
Tapt1
Tgfb1
Tgfb2
Tgfbr2
Thbs1
Thbs3
Thra
Trip11
Trps1
Trpv4
Twsg1
Uncx
Wnt5a
Wnt7a
Wnt9a
Zbtb16
Zbtb7a
Zeb1
Zmpste24
