2210016L21Rik
Abl1
Abl2
Adgra2
Adnp
Aida
Amer1
Amer2
Amer3
Amfr
Amotl1
Amotl2
Ankrd6
Apc
Apc2
Apcdd1
Apoe
App
Arl6
Arntl
Aspm
Atp6ap2
Atp6v0c
Atp6v1c2
Axin1
Axin2
Bambi
Barx1
Bcl7b
Bcl9
Bcl9l
Bicc1
Bmp2
Brd7
Btrc
Calcoco1
Caprin2
Cav1
Cby1
Ccar2
Ccdc88c
Ccn4
Ccnd1
Ccne1
Ccny
Ccnyl1
Cd44
Cdc73
Cdh1
Cdh2
Cdh3
Cdk14
Cela1
Celsr2
Celsr3
Cer1
Chd8
Cmah
Col1a1
Cpe
Cpz
Crbn
Csnk1a1
Csnk1d
Csnk1e
Csnk1g1
Csnk1g2
Csnk1g3
Csnk2a1
Csnk2a2
Csnk2b
Ctdnep1
Cthrc1
Ctnnb1
Ctnnbip1
Ctnnd1
Ctnnd2
Ctr9
Cul3
Cxxc4
Cyld
D1Pas1
Daam1
Daam2
Dab2
Dab2ip
Dact1
Dact2
Dact3
Dapk3
Dcdc2a
Ddb1
Ddit3
Ddx3x
Depdc1b
Disc1
Dixdc1
Dkk1
Dkk2
Dkk3
Dkk4
Dkkl1
Dlx3
Dlx5
Draxin
Drd2
Dvl1
Dvl2
Dvl3
Eda
Edn1
Ednra
Ednrb
Egf
Egfr
Egr1
Emd
Enpp1
Epm2a
Etv2
Ext1
Fam53b
Fbxw11
Fbxw4
Fermt1
Fermt2
Fgf10
Fgf2
Fgf9
Fgfr2
Fgfr3
Folr1
Foxd1
Foxl1
Foxo1
Foxo3
Frat1
Frat2
Frmd8
Frzb
Fuz
Fzd1
Fzd10
Fzd2
Fzd3
Fzd4
Fzd5
Fzd6
Fzd7
Fzd8
Fzd9
G3bp1
Gid8
Gli1
Gli3
Gnaq
Gpc3
Gpc4
Gpc5
Gprc5b
Grb10
Grem1
Grk5
Grk6
Gsc
Gsdma3
Gsk3a
Gsk3b
Gskip
Hbp1
Hdac1
Hdac2
Hesx1
Hhex
Hic1
Hm629797
Hmga2
Hnf1a
Hnf1b
Ift20
Ift80
Ilk
Invs
Isl1
Itga3
Jade1
Jrk
Jup
Kank1
Klf15
Klf4
Klhl12
Kpna1
Kremen1
Kremen2
Krt6a
Lats1
Lats2
Ldb1
Lect2
Lef1
Leo1
Lgr4
Lgr5
Lgr6
Limd1
Lmbr1l
Lmx1a
Lrp1
Lrp4
Lrp5
Lrp6
Lrrfip2
Lrrk1
Lrrk2
Lypd6
Lzts2
Macf1
Mad2l2
Map3k1
Mapk14
Mark1
Mark2
Mbd2
Mcc
Mdfi
Mdfic
Mdk
Med12
Mesd
Mir106b
Mir135a-1
Mir135a-2
Mir135b
Mir154
Mir15a
Mir182
Mir195a
Mir196a-1
Mir196a-2
Mir200a
Mir200b
Mir20a
Mir221
Mir222
Mir224
Mir27b
Mir29b-1
Mir32
Mir93
Mitf
Mks1
Mllt3
Musk
Myc
Myoc
Ndel1
Ndp
Ndrg2
Nfatc4
Nfkb1
Nherf1
Nid1
Nkd1
Nkd2
Nkx2-5
Nle1
Nlk
Nog
Notch1
Notum
Nphp3
Nphp4
Nppa
Nrarp
Nxn
Oprm1
Otud5
Otulin
Paf1
Pbxip1
Peg12
Pfdn5
Pias4
Pin1
Pin1rt1
Pitx2
Pkd1
Pkd2
Plekha4
Plpp3
Porcn
Ppm1a
Ppm1b
Ppm1n
Ppp2r3a
Prdm15
Prickle1
Prkaa1
Prkaa2
Prkn
Psen1
Pten
Ptk7
Ptpn23
Ptpro
Ptpru
Pygo1
Pygo2
Rab5a
Rac1
Rac3
Rapgef1
Rbms3
Reck
Rnf138
Rnf146
Rnf213
Rnf220
Rnf43
Ror1
Ror2
Rps12
Rspo1
Rspo2
Rspo3
Rspo4
Rtf1
Ruvbl1
Ruvbl2
Ryk
Sall1
Scel
Scyl2
Sdc1
Sdhaf2
Sema5a
Senp2
Sfrp1
Sfrp2
Sfrp4
Sfrp5
Shh
Shisa2
Shisa3
Shisa6
Siah1a
Siah1b
Siah2
Six3
Skic8
Smad3
Smarca4
Snai2
Snx3
Sost
Sostdc1
Sox10
Sox13
Sox17
Sox2
Sox30
Sox4
Sox7
Sox9
Spin1
Src
Stk11
Stk3
Stk4
Strn
Sulf1
Sulf2
Tax1bp3
Tbl1xr1
Tcf4
Tcf7
Tcf7l1
Tcf7l2
Tdgf1
Tert
Tgfb1
Tgfb1i1
Thra
Tiam1
Tle1
Tle2
Tle3
Tle4
Tle5
Tle6
Tle7
Tlr2
Tmem131l
Tmem132a
Tmem170b
Tmem198
Tmem237
Tmem64
Tmem67
Tmem88
Tmem88b
Tmem9
Tnfaip3
Tnik
Tnks
Tnks2
Tnn
Tpbg
Tpbgl
Trabd2b
Trpm4
Tsc2
Tsku
Tspan12
Ttc21b
Ubac2
Ube2b
Ubr5
Usp34
Usp47
Usp8
Vangl2
Vax2
Vcp
Vgll4
Vps35
Vps4b
Wif1
Wls
Wnk1
Wnk2
Wnt1
Wnt10a
Wnt10b
Wnt11
Wnt16
Wnt2
Wnt2b
Wnt3
Wnt3a
Wnt4
Wnt5a
Wnt5b
Wnt6
Wnt7a
Wnt7b
Wnt8a
Wnt8b
Wnt9a
Wnt9b
Wwox
Wwtr1
Xiap
Yap1
Zbed3
Zbtb33
Zeb2
Zfp703
Znrf3
Zranb1
