Adig
Atf2
Cebpa
Creb5
Ctbp1
Ctbp2
Fabp4
Ffar4
Fgf10
Fto
Id2
Il4
Lnclep
Ncor2
Npr2
Pdgfra
Per2
Pparg
Prdm16
Retreg1
Scd1
Sirt1
Snai2
Tbl1xr1
Vstm2a
Wfdc21
Zfp423
