mmu04115	p53 signaling pathway
mmu04210	Apoptosis
mmu04211	Longevity regulating pathway
mmu04213	Longevity regulating pathway - multiple species
mmu04215	Apoptosis - multiple species
mmu04218	Cellular senescence
